Date	Result	WhiteElo	BlackElo	Opening	Moves
2017.09.30	1-0	2198	2019	Scandinavian Defense: Main Line	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e6
2017.09.30	0-1	1408	1643	King's Pawn Game: Napoleon Attack	1. e4 e5 2. Qf3 Nc6 3. c3 d6 4. d3 Nf6
2017.09.30	0-1	2128	2199	Sicilian Defense: Closed	1. e4 c5 2. Nc3 e6 3. f4 d5 4. Qe2 Nc6
2017.09.30	0-1	1909	1901	Slav Defense: Exchange Variation	1. d4 c6 2. c4 d5 3. cxd5 cxd5 4. Nc3 Nf6
2017.09.30	1/2-1/2	1949	1969	Dutch Defense	1. d4 f5 2. e3 Nf6 3. Nc3 e6 4. Bd2 Be7
2017.09.30	0-1	1296	1350	Zukertort Opening: Black Mustang Defense	1. Nf3 Nc6 2. g3 d6 3. Bg2 e5 4. d3 Nf6
2017.09.30	0-1	2063	2088	Sicilian Defense: Smith-Morra Gambit Deferred	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. c3 dxc3
2017.09.30	0-1	1543	1908	French Defense: Exchange Variation	1. e4 e6 2. d4 d5 3. exd5 exd5 4. Nf3 Nf6
2017.09.30	0-1	2289	2097	Ruy Lopez: Exchange Variation, Normal Variation	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6
2017.09.30	0-1	1810	1819	Ruy Lopez: Open Variations	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6
2017.09.30	0-1	2030	2032	French Defense: Rubinstein Variation, Blackburne Defense	1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7
2017.09.30	0-1	1808	1809	Indian Game	1. d4 Nf6 2. c3 e6 3. Nf3 c5 4. Bg5 Nc6
2017.09.30	1/2-1/2	1930	1919	Zukertort Opening: Pirc Invitation	1. Nf3 d6 2. g3 e5 3. d3 Qe7 4. Bg2 f6
2017.09.30	0-1	1524	1519	Duras Gambit	1. e4 f5 2. exf5 d6 3. f6 gxf6 4. Qh5+ Kd7
2017.09.30	0-1	1453	1445	Giuoco Piano	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. Nc3 h6
2017.09.30	1-0	1591	1695	Caro-Kann Defense	1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 e6
2017.09.30	1-0	1323	1376	French Defense: Marshall Variation	1. e4 e6 2. d4 d5 3. Nc3 c5 4. Nf3 cxd4
2017.09.30	1-0	1274	1271	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. c4 Bg4
2017.09.30	0-1	1383	1414	Giuoco Piano	1. e4 e5 2. Bc4 Bc5 3. Nf3 Nc6 4. O-O Nf6
2017.09.30	1-0	1737	1779	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6 3. c3 g6 4. g3 Bg7
2017.09.30	0-1	1822	1813	King's Gambit Accepted, Kieseritzky Gambit, Kolisch Defense	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4
2017.09.30	1-0	1153	1039	Center Game: von der Lasa Gambit	1. e4 e5 2. d4 exd4 3. Bc4 f6 4. Qxd4 Nc6
2017.09.30	1-0	1899	1904	Latvian Gambit Accepted, Foltys-Leonhardt Variation	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. Nc4 Nc6
2017.09.30	1-0	1705	1694	Scandinavian Defense: Main Line	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c5
2017.09.30	1-0	1768	1783	English Opening: Anglo-Indian Defense	1. c4 Nf6 2. g3 d6 3. Bg2 e5 4. Nc3 c6
2017.09.30	1-0	1460	1424	King's Pawn	1. e4
2017.09.30	1-0	1781	1794	Semi-Slav Defense	1. d4 d5 2. Nf3 e6 3. c4 Nf6 4. Nc3 c6
2017.09.30	1-0	1729	1716	Queen's Pawn	1. d4 c6 2. Nc3 d5 3. Bf4 Bf5 4. Nf3 e6
2017.09.30	1-0	2223	2025	Scandinavian Defense	1. e4 d5 2. Nc3 dxe4 3. Nxe4 Nf6 4. Nxf6+ gxf6
2017.09.30	1-0	1900	1921	Caro-Kann Defense: Accelerated Panov Attack, Modern Variation	1. e4 c6 2. c4 d5 3. cxd5 cxd5 4. exd5 Nf6
2017.09.30	0-1	1788	1710	King's Pawn Game: Damiano Defense	1. Nf3 f6 2. e4 e5 3. Bc4 Nh6 4. d4 Bb4+
2017.09.30	0-1	1983	1943	Semi-Slav Defense	1. d4 d5 2. c4 c6 3. Nf3 e6 4. Nc3 Nf6
2017.09.30	0-1	1883	1821	Benoni Defense: Benoni Gambit Accepted	1. d4 c5 2. dxc5 e6 3. Nf3 Bxc5 4. e3 Nf6
2017.09.30	1-0	1830	1852	Sicilian Defense: Smith-Morra Gambit	1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6
2017.09.30	1-0	1741	1731	Vienna Game	1. e4 e5 2. Nc3 d6 3. Nf3 Nf6 4. d4 exd4
