	ECO Code	Name	Opening Moves
0	A00	Uncommon Opening	1. g4, a3, h3, etc.
1	A01	Nimzovich-Larsen Attack	1. b3
2	A02	Bird's Opening	1. f4
3	A03	Bird's Opening	1. f4 d5
4	A04	Reti Opening	1. Nf3
5	A05	Reti Opening	1. Nf3 Nf6
6	A06	Reti Opening	1. Nf3 d5
7	A07	King's Indian Attack	1. Nf3 d5 2. g3
8	A08	King's Indian Attack	1. Nf3 d5 2. g3 c5 3. Bg2
9	A09	Reti Opening	1. Nf3 d5 2. c4
10	A10	English	1. c4
11	A11	English, Caro-Kann Defensive System	1. c4 c6
12	A12	English with b3	1. c4 c6 2. Nf3 d5 3. b3
13	A13	English	1. c4 e6
14	A14	English	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O
15	A15	English	1. c4 Nf6
16	A16	English	1. c4 Nf6 2. Nc3
17	A17	English	1. c4 Nf6 2. Nc3 e6
18	A18	English, Mikenas-Carls	1. c4 Nf6 2. Nc3 e6 3. e4
19	A19	English, Mikenas-Carls, Sicilian Variation	1. c4 Nf6 2. Nc3 e6 3. e4 c5
20	A20	English	1. c4 e5
21	A21	English	1. c4 e5 2. Nc3
22	A22	English	1. c4 e5 2. Nc3 Nf6
23	A23	English, Bremen System, Keres Variation	1. c4 e5 2. Nc3 Nf6 3. g3 c6
24	A24	English, Bremen System with ...g6	1. c4 e5 2. Nc3 Nf6 3. g3 g6
25	A25	English	1. c4 e5 2. Nc3 Nc6
26	A26	English	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6
27	A27	English, Three Knights System	1. c4 e5 2. Nc3 Nc6 3. Nf3
28	A28	English	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6
29	A29	English, Four Knights, Kingside Fianchetto	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. g3
30	A30	English, Symmetrical	1. c4 c5
31	A31	English, Symmetrical, Benoni Formation	1. c4 c5 2. Nf3 Nf6 3. d4
32	A32	English, Symmetrical Variation	1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6
33	A33	English, Symmetrical	1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 Nc6
34	A34	English, Symmetrical	1. c4 c5 2. Nc3
35	A35	English, Symmetrical	1. c4 c5 2. Nc3 Nc6
36	A36	English	1. c4 c5 2. Nc3 Nc6 3. g3
37	A37	English, Symmetrical	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3
38	A38	English, Symmetrical	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6
39	A39	English, Symmetrical, Main line with d4	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. d4
40	A40	Queen's Pawn Game	1. d4
41	A41	Queen's Pawn Game (with ...d6)	1. d4 d6
42	A42	Modern Defense, Averbakh System	1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4
43	A43	Old Benoni	1. d4 c5
44	A44	Old Benoni Defense	1. d4 c5 2. d5 e5
45	A45	Queen's Pawn Game	1. d4 Nf6
46	A46	Queen's Pawn Game	1. d4 Nf6 2. Nf3
47	A47	Queen's Indian	1. d4 Nf6 2. Nf3 b6
48	A48	King's Indian	1. d4 Nf6 2. Nf3 g6
49	A49	King's Indian, Fianchetto without c4	1. d4 Nf6 2. Nf3 g6 3. g3
50	A50	Queen's Pawn Game	1. d4 Nf6 2. c4
51	A51	Budapest Gambit	1. d4 Nf6 2. c4 e5
52	A52	Budapest Gambit	1. d4 Nf6 2. c4 e5 3. dxe5 Ng4
53	A53	Old Indian	1. d4 Nf6 2. c4 d6
54	A54	Old Indian, Ukrainian Variation, 4.Nf3	1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3
55	A55	Old Indian, Main line	1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3 Nbd7 5. e4
56	A56	Benoni Defense	1. d4 Nf6 2. c4 c5
57	A57	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5
58	A58	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6
59	A59	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4
60	A60	Benoni Defense	1. d4 Nf6 2. c4 c5 3. d5 e6
61	A61	Benoni	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6
